date,open,high,low,close,volume,turnover,r_1,r_5,r_10,rsi_5,rsi_14,K,D,J
2008-12-05,-0.4058898829503282,0.07177035759155286,-0.4845551570574889,-0.1542616328985631,4.010548576449237,17.17826762686368,,,,,,0.4069416206670855,0.4615660894750684,0.2662292506190275
2008-12-08,-0.18189310509428624,0.017141390368431646,-0.1487913752271462,0.06051342290704447,1.7786435950315467,8.535003804833005,3.801696952848365,,,,,0.9181216214083786,0.6548892857758709,1.0460867417064974
2008-12-09,0.15567950378735454,0.21137771827286256,0.0849265513410334,0.12684101367054088,3.025749232773241,13.364538722621704,1.0585291314776284,,,,,1.1319143177968447,0.864625689798613,1.2237051314574954
2008-12-10,0.06418786212784443,0.07480530021505953,0.05200853351452906,0.07946416312518619,1.1862539320923402,6.240918624300326,-0.7561618954219727,,,,,1.1829405760407758,1.0237475829287144,1.140395172747452
2008-12-11,0.07365251471331079,0.04142093135648531,-0.07307993422618676,-0.0531910184018066,1.4477432853039556,7.253560956871554,-2.1366894193927517,,,,,0.9607519046946015,1.0457992975680124,0.6791586453044725
2008-12-12,-0.08409169504446525,-0.09211654407781104,-0.12574876274859348,-0.08793404213506673,0.7193348700223885,4.4327302513158005,-0.6014534846248125,0.4873033966676255,,0.38698685336536554,,0.7455245060527852,0.9791035773708345,0.3338632486448244
2008-12-15,-0.07778192665415405,-0.11032619981885163,-0.12245696096594284,-0.12899397927437398,0.36324031161260095,3.053720284695135,-0.7195133196518667,-1.3608448274909488,,0.11722560348763951,,0.5227376617452009,0.8503839933891016,0.04522625696949418
2008-12-16,-0.1534991473378866,-0.1892347080300268,-0.2277946180107563,-0.19216311333484679,0.491324432355848,3.549738195947573,-1.1209220899624208,-2.211346017184462,,-0.28104895200232566,,0.25221015752008336,0.662260123738311,-0.26858655584183394
2008-12-17,-0.16927356831366416,-0.08604665883079769,-0.1487913752271462,-0.13531089268042112,0.6697620469371112,4.240754790041126,1.0154791723460876,-1.5267308299849516,,0.13930152584332986,,0.18166113525472719,0.5101632715156418,-0.23166705825105607
2008-12-18,-0.16927356831366416,-0.16495516704197286,-0.18170939305365055,-0.1542616328985631,0.20504360130172372,2.4410885130120272,-0.34580320882222776,-0.7741073066585505,,-0.01209846648498117,,-0.2803285383526584,0.2340454666138808,-0.8196125799705053
2008-12-19,-0.16296379992335325,-0.15281539654794588,-0.1422077716618455,-0.17005391641368126,0.17086611209044436,2.3087329430002366,-0.29265947942059417,-0.6434524888055612,-0.1242601191481941,-0.15230954525283322,,-0.6331540602508979,-0.0834681760770304,-1.145722672453428
2008-12-22,-0.1787382208991308,-0.21047930639457377,-0.21133560909750426,-0.23006459377113048,0.12053196230647834,2.1138091718439544,-1.0857722576247009,-0.8001886623248853,-1.454822367084611,-0.647474555417524,,-1.0053878004527115,-0.43591903924907976,-1.469634556011567
2008-12-23,-0.222906599631308,-0.1953045932770401,-0.25412903227195965,-0.28375835772253233,0.16915128472753282,2.3020921113204458,-1.0005877967273724,-0.7486441467976801,-1.9847389327367448,-1.0003066887902634,,-1.363940993950768,-0.806487535932394,-1.7458305535791119
2008-12-24,-0.3143982412908181,-0.3440167818288704,-0.39896831070857786,-0.3848289722192885,0.18656795710659438,2.3695398277454,-1.9221689262247417,-1.942198459449555,-2.282851077457698,-1.4629054228854235,,-1.4543430988887989,-1.0877223780818928,-1.599013481322361
2008-12-25,-0.3838056935842395,-0.38347103593445797,-0.4121355178391795,-0.40062125573440693,-0.03454649800582984,1.5132531191654977,-0.32638564443105234,-1.9346381389625629,-1.8172551830776822,-1.5216191677369164,-1.0137851945081637,-1.531816207297484,-1.3045118325399307,-1.5011134490518092
2008-12-26,-0.40273499875517277,-0.4077505769225119,-0.3956765089259275,-0.40377971243743055,-0.16348357063235142,1.0139320708099926,-0.07557827778252277,-1.8501918422469874,-1.6810134508663017,-1.535262607424067,-1.0248569843737345,-1.59546846143428,-1.4731107854662415,-1.4316463692878263
2008-12-29,-0.4185094197309503,-0.3774011506874446,-0.4549289410136352,-0.3564028618920759,0.16247251978035485,2.276227960326382,0.9396696680758533,-1.0408050716124695,-1.2437639650729182,-0.6737432865807534,-0.7323333185365846,-1.3462266399119553,-1.4912493074205289,-0.9218555731997194
2008-12-30,-0.361721504218151,-0.38650597855796465,-0.40226011249122845,-0.4258889093585958,-0.07677025012813722,1.3497376325351864,-1.374338771702999,-1.1979599481562806,-1.3142638547208296,-1.1768434194577637,-1.0002012182574465,-1.3837510978586676,-1.5175330324767813,-0.965165833599531
2008-12-31,-0.4311289565115724,-0.45023977365160617,-0.45822074279628555,-0.47642421660697404,-0.18879114898835062,0.9159260722353256,-1.0395429114405088,-0.8212213206422995,-1.8510827699483643,-1.4409213555196008,-1.1814029581946766,-1.6031343679854775,-1.6180240884332677,-1.2796618014883594
2009-01-05,-0.45321314587766115,-0.43203011791056584,-0.4417617338830335,-0.41325508254650123,-0.11668630265953121,1.1951589315441924,1.3074717612324636,-0.13697704680951805,-1.4271343665495155,-0.47797497340517,-0.7803670410197882,-1.4540173782903691,-1.6286235621224128,-0.9749539548552844
2009-01-06,-0.4185094197309503,-0.25600344574717493,-0.4121355178391795,-0.22374768036508308,0.2672773956207826,2.6820947867665437,3.814452541678445,1.551306653862495,-0.32943617908046596,0.9701552282297763,0.18584445224177548,-0.4790555315261334,-1.2669689963969923,0.5205946308021422
2009-01-07,-0.18504798928944172,-0.16495516704197286,-0.21133560909750426,-0.24269842058322505,0.9781348240051363,5.434957630180934,-0.35999806420413627,0.9457661588235157,-0.10981583702622859,0.7770943515670363,0.09955867595462166,-0.015656613604558316,-0.8506130869651568,0.9496716538625807
2009-01-08,-0.31124335709566264,-0.3167022982173098,-0.33971587862087044,-0.3564028618920759,0.13674855490376686,2.176609465440559,-2.118070091504533,0.5896900010545351,-0.4537983588675085,-0.18665035458824777,-0.3827314630004271,-0.18514982167836672,-0.637143127589486,0.37117583814736915
2009-01-09,-0.35541173582783986,-0.3258071260878301,-0.3265486714902687,-0.302709097940674,-0.06760505459064484,1.385230721923215,1.0403190423819646,1.5565265463843392,0.4531814186450483,0.22440146236808936,-0.12586174269036857,-0.072221989828518,-0.45212163758209784,0.3794343130206151
2009-01-12,-0.3143982412908181,-0.3045625277232828,-0.3067978607943664,-0.31218446804974503,-0.11724664693950228,1.1929889451499336,-0.19297865996329233,0.8637553072596476,0.4955003579454583,0.13842620137862963,-0.16701627958876955,-0.03680558693041394,-0.3153798459605017,0.2913001873233539
2009-01-13,-0.34279219904721775,-0.3682963228169243,-0.3890929053606268,-0.40377971243743055,-0.008522757863053705,1.6140325222147758,-1.767838563627958,-1.4675159527592276,-0.039657895290965674,-0.5890200563717712,-0.5489770871631217,-0.3985932289045729,-0.36104314238523694,-0.3657126187295762
2009-01-14,-0.41219965134063913,-0.3440167818288704,-0.4055519142738788,-0.31850138145579215,-0.015475275717995202,1.587108237109472,1.701184688414438,-0.63879360660642,0.1844830614216924,0.18431153746031873,-0.12069808361035829,-0.2809656252045342,-0.34699974923620713,-0.15117321698773148
2009-01-15,-0.34279219904721775,-0.34098183920536373,-0.33642407683822007,-0.3437690350799813,-0.04475555281716333,1.473717585689571,-0.49807392393282396,0.08158132648531559,0.4639674642362405,-0.03700044974941216,-0.23005456697681573,-0.35109272656591645,-0.36415885996605774,-0.26894985988907416
2009-01-16,-0.32701777807144017,-0.3167022982173098,-0.3133814643596671,-0.3374521216739341,0.0262896884081045,1.7488470236908933,0.11080560427183589,-0.31552730401448686,0.8362239517015189,0.029105203549322695,-0.19694520943474664,-0.4543382607975131,-0.414644702137273,-0.4132769120235221
2009-01-19,-0.32386289387628475,-0.3167022982173098,-0.3100896625770167,-0.31218446804974503,-0.012533367497865605,1.5985010558443575,0.47831236341734706,-0.026441777556959714,0.5760425699710053,0.31522276620480116,-0.059806599383101275,-0.4200159599895975,-0.43532157717234077,-0.3221227763524005
2009-01-20,-0.31755312548597353,-0.33794689658185706,-0.33642407683822007,-0.3311352082678867,-0.21364820087122602,0.8196647801774855,-0.3754546845088757,0.6101935544193123,-0.6341878088408524,0.04881701075762657,-0.15737893135410982,-0.033707997649449865,-0.30300832820434076,0.2831171679830733
